ea01id;ea01dtemis;ea01dtentrega;ea01vlr10
16023085;14/02/2023;05/03/2023;214.3103896
16023070;14/02/2023;05/03/2023;217.5844156
16023055;14/02/2023;05/03/2023;144.3857143
16022956;14/02/2023;05/03/2023;46.75324675
16022941;14/02/2023;05/03/2023;247.8779221
16022926;14/02/2023;05/03/2023;226.0935065
16022911;14/02/2023;05/03/2023;688.7311688
16022894;14/02/2023;05/03/2023;232.7714286
16022879;14/02/2023;05/03/2023;558.5571429
16022864;14/02/2023;05/03/2023;117.112987
16022853;14/02/2023;05/03/2023;14.02597403
16022840;14/02/2023;05/03/2023;100.212987
16022825;14/02/2023;05/03/2023;305.3298701
16022814;14/02/2023;05/03/2023;37.4025974
16022801;14/02/2023;05/03/2023;162.2584416
16022791;14/02/2023;05/03/2023;23.37662338
16022776;14/02/2023;05/03/2023;246.9597403
16022751;14/02/2023;05/03/2023;357.0155844
16021125;14/02/2023;03/03/2023;397.8822511
16022741;14/02/2023;28/02/2023;10.91298701
16022731;14/02/2023;28/02/2023;10.91298701
16022721;14/02/2023;28/02/2023;10.91298701
16022711;14/02/2023;28/02/2023;10.91298701
16022701;14/02/2023;28/02/2023;10.91298701
16022691;14/02/2023;28/02/2023;10.91298701
16022680;14/02/2023;28/02/2023;10.91298701
16022458;14/02/2023;28/02/2023;10.91298701
16022444;14/02/2023;28/02/2023;10.91298701
16022215;14/02/2023;28/02/2023;121.2839827
16022080;14/02/2023;28/02/2023;90.57489177
16022069;14/02/2023;28/02/2023;229.8601732
16021880;14/02/2023;28/02/2023;70.22727273
16021869;14/02/2023;28/02/2023;141.9363636
16021767;14/02/2023;28/02/2023;203.5969697
16021756;14/02/2023;28/02/2023;82.62164502
16021746;14/02/2023;28/02/2023;60.17489177
16021736;14/02/2023;28/02/2023;83.48225108
16021726;14/02/2023;28/02/2023;65.78571429
16021715;14/02/2023;28/02/2023;196.812987
16021704;14/02/2023;28/02/2023;177.0904762
16021694;14/02/2023;28/02/2023;32.73852814
16021683;14/02/2023;28/02/2023;120.1147186
16021672;14/02/2023;28/02/2023;52.53463203
16021662;14/02/2023;28/02/2023;101.1748918
16021652;14/02/2023;28/02/2023;136.9506494
16021641;14/02/2023;28/02/2023;82.62164502
16021630;14/02/2023;28/02/2023;96.18571429
16021619;14/02/2023;28/02/2023;128.6852814
16021608;14/02/2023;28/02/2023;141.6272727
16021597;14/02/2023;28/02/2023;110.1324675
16021586;14/02/2023;28/02/2023;139.5982684
16021575;14/02/2023;28/02/2023;244.0454545
16021564;14/02/2023;28/02/2023;146.3818182
16021553;14/02/2023;28/02/2023;468.6038961
16021542;14/02/2023;28/02/2023;167.5818182
16021531;14/02/2023;28/02/2023;213.0978355
16021425;14/02/2023;28/02/2023;125.9606061
16021297;14/02/2023;28/02/2023;32.73852814
16021284;14/02/2023;28/02/2023;132.5056277
16021273;14/02/2023;28/02/2023;332.8298701
16021258;14/02/2023;28/02/2023;59.00562771
16021249;14/02/2023;28/02/2023;54.56406926
16021228;14/02/2023;28/02/2023;126.8943723
16022766;14/02/2023;05/03/2023;60.77922078
16021062;14/02/2023;01/03/2023;565.1077922
16021076;14/02/2023;01/03/2023;773.9917749
16021158;14/02/2023;15/02/2023;184.9099567
16021104;14/02/2023;01/03/2023;168.4484848
16021183;14/02/2023;01/03/2023;241.982684
16021089;14/02/2023;01/03/2023;88.85800866
16020982;14/02/2023;17/02/2023;71.83636364
16020922;14/02/2023;01/03/2023;80.86363636
16027585;15/02/2023;02/03/2023;169.8593074
16027528;15/02/2023;02/03/2023;497.4350649
16027619;15/02/2023;02/03/2023;208.0419913
16027506;15/02/2023;28/02/2023;138.7415584
16027473;15/02/2023;02/03/2023;122.7298701
16027737;15/02/2023;02/03/2023;72.23939394
16027555;15/02/2023;02/03/2023;219.1484848
16027425;15/02/2023;02/03/2023;140.1714286
16027709;15/02/2023;02/03/2023;127.3290043
16027681;15/02/2023;02/03/2023;161.8748918
16027653;15/02/2023;02/03/2023;127.3290043
16032105;15/02/2023;02/03/2023;111.7670996
16033499;16/02/2023;03/03/2023;356.9757576
16034801;16/02/2023;03/03/2023;96.64675325
16034628;16/02/2023;03/03/2023;271.1324675
16032987;16/02/2023;23/02/2023;4.887012987
16033484;16/02/2023;03/03/2023;117.9952381
16033445;16/02/2023;03/03/2023;106.3528139
16035702;17/02/2023;04/03/2023;466.1333333
16035683;17/02/2023;04/03/2023;72.23939394
16035770;17/02/2023;03/03/2023;71.52900433
16035746;17/02/2023;04/03/2023;144.5731602
16037778;23/02/2023;10/03/2023;197.4060606
16037814;23/02/2023;10/03/2023;184.6467532
16042647;24/02/2023;28/02/2023;72.5969697
16046155;27/02/2023;14/03/2023;67.82554113
16046730;27/02/2023;14/03/2023;2463.468398
16046718;27/02/2023;14/03/2023;388.2887446
16045869;27/02/2023;14/03/2023;201.1952381
16046358;27/02/2023;14/03/2023;1010.489177
16045731;27/02/2023;14/03/2023;269.3047619
16046067;27/02/2023;14/03/2023;221.8597403
16045943;27/02/2023;14/03/2023;133.9333333
16046133;27/02/2023;14/03/2023;162.9467532
16046413;27/02/2023;14/03/2023;665.2649351
16045759;27/02/2023;14/03/2023;374.7926407
16046217;27/02/2023;14/03/2023;114.5861472
16045994;27/02/2023;14/03/2023;136.4242424
16046489;27/02/2023;14/03/2023;235.9064935
16046520;27/02/2023;15/05/2023;1010.489177
16045813;27/02/2023;14/03/2023;297.6363636
16045840;27/02/2023;14/03/2023;387.8753247
16046239;27/02/2023;14/03/2023;1221.561039
16046434;27/02/2023;10/04/2023;986.7688312
16046185;27/02/2023;14/03/2023;154.7787879
16046047;27/02/2023;22/03/2023;70.18181818
16047154;27/02/2023;03/03/2023;53.45844156
16045965;27/02/2023;14/03/2023;323.1324675
16045914;27/02/2023;14/03/2023;392.0367965
16046591;27/02/2023;14/03/2023;95.73982684
16045785;27/02/2023;14/03/2023;258.1978355
16046315;27/02/2023;14/03/2023;129.3800866
16046341;27/02/2023;14/03/2023;297.0454545
16046284;27/02/2023;14/03/2023;183.4978355
16046637;27/02/2023;14/03/2023;331.25671
16046119;27/02/2023;14/03/2023;74.61125541
16045895;27/02/2023;14/03/2023;70.51255411
16051287;28/02/2023;15/03/2023;552.2121212
16051100;28/02/2023;15/03/2023;291.4961039
16049070;28/02/2023;15/03/2023;74.44848485
16051145;28/02/2023;15/03/2023;107.3489177
16049139;28/02/2023;15/03/2023;447.3004329
16051088;28/02/2023;17/03/2023;202.5519481
16049057;28/02/2023;02/03/2023;24.27445887
16049097;28/02/2023;15/03/2023;35.11558442
16051049;28/02/2023;14/03/2023;189.3017316
16051125;28/02/2023;14/03/2023;93.9021645
16061844;01/03/2023;01/03/2023;93.3961039
16061856;01/03/2023;01/03/2023;348.7948052
16061662;01/03/2023;01/03/2023;216.0649351
16061869;01/03/2023;01/03/2023;214.4766234
16061675;01/03/2023;01/03/2023;616.3363636
16061882;01/03/2023;01/03/2023;128.9792208
16061895;01/03/2023;01/03/2023;441.2727273
16054798;01/03/2023;16/03/2023;65.75108225
16059747;01/03/2023;16/03/2023;111.225974
16059731;01/03/2023;16/03/2023;169.1502165
16054532;01/03/2023;06/03/2023;447.3004329
16061718;01/03/2023;01/03/2023;225.6025974
16054707;01/03/2023;14/03/2023;815.2692641
16054966;01/03/2023;16/03/2023;144.8142857
16055132;01/03/2023;14/03/2023;95.39307359
16054841;01/03/2023;14/03/2023;104.6614719
16061805;01/03/2023;01/03/2023;139.6207792
